Nombre,Precio,Valoracion,Tienda,Fecha,componente,Match,Nombre_Ref,ID,brand_name,items_Decribtion,ratings,prices,Category,P_Ref,Diferencia
Lexar NM620 256GB SSD M.2 PCIe 3.0 3D TLC NAND NVMe,85.73,,PcComponentes,2026-04-17,discos-duros,"('HP EX920 M.2 256GB PCIe 3.0 x4 NVMe 3D TLC NAND Internal Solid State Drive (SSD) 2YY45AA#ABC', 87)",HP EX920 M.2 256GB PCIe 3.0 x4 NVMe 3D TLC NAND Internal Solid State Drive (SSD) 2YY45AA#ABC,140,HP,HP EX920 M.2 256GB PCIe 3.0 x4 NVMe 3D TLC NAND Internal Solid State Drive (SSD) 2YY45AA#ABC,(32),132.99,storege,132.99,47.26
"Seagate IronWolf Pro 3.5"" 20TB SATA 3",725.99,,PcComponentes,2026-04-17,discos-duros,"('Seagate IronWolf Pro 16TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST16000NE000', 92)","Seagate IronWolf Pro 16TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST16000NE000",16,Seagate,"Seagate IronWolf Pro 16TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST16000NE000",(9),170.99,storege,170.99,-555.0
"Seagate IronWolf Pro 3.5"" 24TB SATA 3",964.48,"4,8/5",PcComponentes,2026-04-17,discos-duros,"('Seagate IronWolf Pro 16TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST16000NE000', 92)","Seagate IronWolf Pro 16TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST16000NE000",16,Seagate,"Seagate IronWolf Pro 16TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST16000NE000",(9),170.99,storege,170.99,-793.49
"WD Purple 3.5"" 8TB SATA III",317.89,,PcComponentes,2026-04-17,discos-duros,"('WD Purple WD82PURZ 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive', 92)","WD Purple WD82PURZ 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",225,DELL,"WD Purple WD82PURZ 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",(8),754.99,storege,754.99,437.1
"Seagate SkyHawk 3.5"" 1TB SATA 3",101.45,,PcComponentes,2026-04-17,discos-duros,"('Seagate SkyHawk 1TB Surveillance Hard Drive 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST1000VX005', 100)","Seagate SkyHawk 1TB Surveillance Hard Drive 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST1000VX005",38,Seagate,"Seagate SkyHawk 1TB Surveillance Hard Drive 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST1000VX005",(187),570.99,storege,570.99,469.54
"WD Red Pro 3.5"" 6TB 256MB SATA 3",277.09,,PcComponentes,2026-04-17,discos-duros,"('WD Red Pro WD6003FFBX 6TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive', 100)","WD Red Pro WD6003FFBX 6TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",337,Seagate,"WD Red Pro WD6003FFBX 6TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",,452.29,storege,452.29,175.2
"WD Red Pro 3.5"" 16TB 512MB SATA 3",559.0,,PcComponentes,2026-04-17,discos-duros,"('WD Red Pro WD141KFGX 14TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive', 91)","WD Red Pro WD141KFGX 14TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",251,Western Digital,"WD Red Pro WD141KFGX 14TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",(1),616.39,storege,616.39,57.39
"Seagate Exos X22 3.5"" 22TB SATA 3",782.98,,PcComponentes,2026-04-17,discos-duros,"('Seagate Exos X16 ST14000NM001G 14TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Hard Drives, 512E/4KN', 82)","Seagate Exos X16 ST14000NM001G 14TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Hard Drives, 512E/4KN",15,Seagate,"Seagate Exos X16 ST14000NM001G 14TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Hard Drives, 512E/4KN",(644),611.99,storege,611.99,-170.99
"Seagate SkyHawk 2TB 3.5"" SATA 3",129.13,,PcComponentes,2026-04-17,discos-duros,"('Seagate SkyHawk 2TB Surveillance Hard Drive 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST2000VX008', 100)","Seagate SkyHawk 2TB Surveillance Hard Drive 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST2000VX008",37,Seagate,"Seagate SkyHawk 2TB Surveillance Hard Drive 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST2000VX008",(1),121.82,storege,121.82,-7.31
"WD Red Pro 3.5"" 4TB 256MB SATA 3",203.99,,PcComponentes,2026-04-17,discos-duros,"('WD Red Pro WD4003FFBX 4TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive', 100)","WD Red Pro WD4003FFBX 4TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",343,Seagate,"WD Red Pro WD4003FFBX 4TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",,61.99,storege,61.99,-142.0
"Seagate SkyHawk 8TB 3.5"" SATA 3",303.6,"4,6/5",PcComponentes,2026-04-17,discos-duros,"('Seagate SkyHawk 8TB Surveillance Hard Drive 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST8000VX0022', 100)","Seagate SkyHawk 8TB Surveillance Hard Drive 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST8000VX0022",36,Seagate,"Seagate SkyHawk 8TB Surveillance Hard Drive 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST8000VX0022",(70),392.99,storege,392.99,89.39
Lexar NM620 1TB SSD M.2 PCIe 3.0 3D TLC NAND NVMe,161.99,"4,6/5",PcComponentes,2026-04-17,discos-duros,"('HP EX920 M.2 256GB PCIe 3.0 x4 NVMe 3D TLC NAND Internal Solid State Drive (SSD) 2YY45AA#ABC', 80)",HP EX920 M.2 256GB PCIe 3.0 x4 NVMe 3D TLC NAND Internal Solid State Drive (SSD) 2YY45AA#ABC,140,HP,HP EX920 M.2 256GB PCIe 3.0 x4 NVMe 3D TLC NAND Internal Solid State Drive (SSD) 2YY45AA#ABC,(32),132.99,storege,132.99,-29.0
"WD Blue 3.5"" 6TB 5400 RPM 256MB CMR SATA 3",210.95,,PcComponentes,2026-04-17,discos-duros,"('WD Blue 6TB Desktop Hard Disk Drive - 5400 RPM SATA 6Gb/s 256MB Cache 3.5 Inch - WD60EZAZ', 95)",WD Blue 6TB Desktop Hard Disk Drive - 5400 RPM SATA 6Gb/s 256MB Cache 3.5 Inch - WD60EZAZ,247,Western Digital,WD Blue 6TB Desktop Hard Disk Drive - 5400 RPM SATA 6Gb/s 256MB Cache 3.5 Inch - WD60EZAZ,(4),551.41,storege,551.41,340.46
"WD Purple 3.5"" 6 TB SATA 3",219.95,,PcComponentes,2026-04-17,discos-duros,"('WD Purple WD102PURZ 10 TB Hard Drive 3.5"" Internal SATA SATA/600', 95)","WD Purple WD102PURZ 10 TB Hard Drive 3.5"" Internal SATA SATA/600",263,Western Digital,"WD Purple WD102PURZ 10 TB Hard Drive 3.5"" Internal SATA SATA/600",,"1,875.32",storege,1875.32,1655.37
"Seagate Ironwolf NAS 3.5"" 6 TB SATA 3",261.58,,PcComponentes,2026-04-17,discos-duros,"('Seagate IronWolf 16TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST16000VN001', 95)","Seagate IronWolf 16TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST16000VN001",7,Seagate,"Seagate IronWolf 16TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST16000VN001",(644),"1,575.99",storege,1575.99,1314.41
"WD Purple 1TB 3.5"" SATA 3",108.49,,PcComponentes,2026-04-17,discos-duros,"('WD Purple 1TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch WD10PURZ', 100)",WD Purple 1TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch WD10PURZ,335,Western Digital,WD Purple 1TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch WD10PURZ,,"1,369.69",storege,1369.69,1261.2
"Seagate Exos X24 20 TB 3.5"" SATA 3",619.0,,PcComponentes,2026-04-17,discos-duros,"('Seagate Exos 7E8 ST4000NM000A 4 TB Hard Drive - SATA (SATA/600) - 3.5"" Drive - Internal', 87)","Seagate Exos 7E8 ST4000NM000A 4 TB Hard Drive - SATA (SATA/600) - 3.5"" Drive - Internal",106,Seagate,"Seagate Exos 7E8 ST4000NM000A 4 TB Hard Drive - SATA (SATA/600) - 3.5"" Drive - Internal",(70),672.99,storege,672.99,53.99
"WD Purple 4TB 3.5"" SATA 3",203.99,"4,6/5",PcComponentes,2026-04-17,discos-duros,"('WD Purple 4TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch WD40PURZ', 100)",WD Purple 4TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch WD40PURZ,326,Seagate,WD Purple 4TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch WD40PURZ,,702.71,storege,702.71,498.72
"Seagate IronWolf Pro ST8000NT001 3.5"" 8TB SATA",366.9,,PcComponentes,2026-04-17,discos-duros,"('Seagate IronWolf Pro ST8000NE001 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive', 85)","Seagate IronWolf Pro ST8000NE001 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",73,Seagate,"Seagate IronWolf Pro ST8000NE001 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",(57),936.99,storege,936.99,570.09
"WD Red Plus 3.5"" 2TB 64MB SATA 3",175.78,"4,6/5",PcComponentes,2026-04-17,discos-duros,"('WD Red Pro 2TB NAS Hard Drive Bare Drive - 7200 RPM Class SATA 6.0Gb/s 64MB Cache 3.5"" - WD2002FFSX', 91)","WD Red Pro 2TB NAS Hard Drive Bare Drive - 7200 RPM Class SATA 6.0Gb/s 64MB Cache 3.5"" - WD2002FFSX",348,DELL,"WD Red Pro 2TB NAS Hard Drive Bare Drive - 7200 RPM Class SATA 6.0Gb/s 64MB Cache 3.5"" - WD2002FFSX",,"3,189.99",storege,3189.99,3014.21
"WD Purple 1TB 3.5"" SATA3",99.95,"4,8/5",PcComponentes,2026-04-17,discos-duros,"('WD Purple 1TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch WD10PURZ', 85)",WD Purple 1TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch WD10PURZ,335,Western Digital,WD Purple 1TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6Gb/s 64MB Cache 3.5 Inch WD10PURZ,,"1,369.69",storege,1369.69,1269.74
"Seagate IronWolf 3.5"" 8TB SATA 3",360.05,,PcComponentes,2026-04-17,discos-duros,"('Seagate IronWolf ST8000VN004 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive', 100)","Seagate IronWolf ST8000VN004 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",25,Seagate,"Seagate IronWolf ST8000VN004 8TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",(217),303.99,storege,303.99,-56.06
"Seagate SkyHawk AI 3.5"" 24 TB SATA 3",850.97,,PcComponentes,2026-04-17,discos-duros,"('Seagate SkyHawk AI ST10000VE0008 10TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive', 90)","Seagate SkyHawk AI ST10000VE0008 10TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",90,HP,"Seagate SkyHawk AI ST10000VE0008 10TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",(6),995.99,storege,995.99,145.02
"WD Red Pro 3.5"" 14TB 512MB SATA 3",539.95,,PcComponentes,2026-04-17,discos-duros,"('WD Red Pro WD141KFGX 14TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive', 100)","WD Red Pro WD141KFGX 14TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",251,Western Digital,"WD Red Pro WD141KFGX 14TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",(1),616.39,storege,616.39,76.44
"WD Red Pro 3.5"" 22TB 512MB SATA 3",767.95,,PcComponentes,2026-04-17,discos-duros,"('WD Red Pro WD141KFGX 14TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive', 91)","WD Red Pro WD141KFGX 14TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",251,Western Digital,"WD Red Pro WD141KFGX 14TB 7200 RPM 512MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",(1),616.39,storege,616.39,-151.56
"Seagate IronWolf Pro NAS 6TB 3.5"" SATA 3",297.99,,PcComponentes,2026-04-17,discos-duros,"('Seagate IronWolf Pro 6TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST6000NE0023', 100)","Seagate IronWolf Pro 6TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST6000NE0023",24,Seagate,"Seagate IronWolf Pro 6TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive ST6000NE0023",(8),378.99,storege,378.99,81.0
"Seagate BarraCuda 2.5"" 2TB SATA3",176.99,,PcComponentes,2026-04-17,discos-duros,"('Seagate BarraCuda 120 2.5"" 2TB SATA III 3D TLC Internal Solid State Drive (SSD) ZA2000CM1A003', 89)","Seagate BarraCuda 120 2.5"" 2TB SATA III 3D TLC Internal Solid State Drive (SSD) ZA2000CM1A003",109,Seagate,"Seagate BarraCuda 120 2.5"" 2TB SATA III 3D TLC Internal Solid State Drive (SSD) ZA2000CM1A003",(4),"1,214.03",storege,1214.03,1037.04
Gigabyte AMD Radeon RX 9070 XT GAMING OC 16GB GDDR6 FSR 4,709.0,,PcComponentes,2026-04-17,tarjetas-graficas,"('GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XTGAMING OC-8GD Video Card', 81)","GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XTGAMING OC-8GD Video Card",54,MSI,"GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XTGAMING OC-8GD Video Card",(44),907.99,gpu,907.99,198.99
ASUS Dual GeForce RTX 3050 OC Edition 6GB GDDR6,213.79,,PcComponentes,2026-04-17,tarjetas-graficas,"('ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING)', 88)",ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),154,MSI,ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),(17),263.99,gpu,263.99,50.2
Sapphire PULSE AMD Radeon RX 9060 XT 16GB GDDR6 FSR 4,448.9,,PcComponentes,2026-04-17,tarjetas-graficas,"('Sapphire 11293-01-20G PULSE AMD Radeon RX 5700 XT 8GB GDDR6 HDMI/3DisplayPort PCI-Express 4.0 Video Card', 85)",Sapphire 11293-01-20G PULSE AMD Radeon RX 5700 XT 8GB GDDR6 HDMI/3DisplayPort PCI-Express 4.0 Video Card,352,Sapphire Tech,Sapphire 11293-01-20G PULSE AMD Radeon RX 5700 XT 8GB GDDR6 HDMI/3DisplayPort PCI-Express 4.0 Video Card,,"2,669.67",gpu,2669.67,2220.77
ASUS GeForce GT 710 SL EVO BRK 2GB GDDR5,54.95,,PcComponentes,2026-04-17,tarjetas-graficas,"('ASUS GeForce GT 710 1GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-1GD5-BRK)', 89)",ASUS GeForce GT 710 1GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-1GD5-BRK),168,GIGABYTE,ASUS GeForce GT 710 1GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-1GD5-BRK),(1),"1,058.99",gpu,1058.99,1004.04
Asus GeForce GT 730 2GB GDDR5,76.99,,PcComponentes,2026-04-17,tarjetas-graficas,"('ASUS GeForce GT 710 2GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-2GD5-CSM)', 93)",ASUS GeForce GT 710 2GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-2GD5-CSM),296,MSI,ASUS GeForce GT 710 2GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-2GD5-CSM),(2),"1,578.63",gpu,1578.63,1501.64
Gigabyte AMD Radeon RX 9060 XT GAMING OC 16GB GDDR6 FSR 4,490.99,,PcComponentes,2026-04-17,tarjetas-graficas,"('GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XTGAMING OC-8GD Video Card', 81)","GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XTGAMING OC-8GD Video Card",54,MSI,"GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XTGAMING OC-8GD Video Card",(44),907.99,gpu,907.99,417.0
Sapphire PULSE AMD Radeon RX 9070 XT 16GB GDDR6 FSR 4,719.9,,PcComponentes,2026-04-17,tarjetas-graficas,"('Sapphire 11293-01-20G PULSE AMD Radeon RX 5700 XT 8GB GDDR6 HDMI/3DisplayPort PCI-Express 4.0 Video Card', 85)",Sapphire 11293-01-20G PULSE AMD Radeon RX 5700 XT 8GB GDDR6 HDMI/3DisplayPort PCI-Express 4.0 Video Card,352,Sapphire Tech,Sapphire 11293-01-20G PULSE AMD Radeon RX 5700 XT 8GB GDDR6 HDMI/3DisplayPort PCI-Express 4.0 Video Card,,"2,669.67",gpu,2669.67,1949.77
Asus GeForce GT 1030 2GB GDDR5,89.9,,PcComponentes,2026-04-17,tarjetas-graficas,"('MSI GeForce GT 1030 DirectX 12 GT 1030 2GH LP OC 2GB 64-Bit GDDR5 PCI Express 3.0 x16 (uses x4) HDCP Ready Low Profile Video Card', 91)",MSI GeForce GT 1030 DirectX 12 GT 1030 2GH LP OC 2GB 64-Bit GDDR5 PCI Express 3.0 x16 (uses x4) HDCP Ready Low Profile Video Card,172,EVGA,MSI GeForce GT 1030 DirectX 12 GT 1030 2GH LP OC 2GB 64-Bit GDDR5 PCI Express 3.0 x16 (uses x4) HDCP Ready Low Profile Video Card,(20),,gpu,,
MSI GeForce GT710 2GB DDR3 Low Profile,58.95,,PcComponentes,2026-04-17,tarjetas-graficas,"('MSI GeForce GT 710 DirectX 12 GT 710 2GD3H LP 2GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card', 91)",MSI GeForce GT 710 DirectX 12 GT 710 2GD3H LP 2GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,171,ASUS,MSI GeForce GT 710 DirectX 12 GT 710 2GD3H LP 2GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,(10),831.99,gpu,831.99,773.04
Gigabyte Radeon RX 7600 GAMING OC 8GB GDDR6,320.99,,PcComponentes,2026-04-17,tarjetas-graficas,"('GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XTGAMING OC-8GD Video Card', 94)","GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XTGAMING OC-8GD Video Card",54,MSI,"GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XTGAMING OC-8GD Video Card",(44),907.99,gpu,907.99,587.0
MSI GeForce RTX 3050 VENTUS 2X E OC 6GB GDDR6,242.99,,PcComponentes,2026-04-17,tarjetas-graficas,"('MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card', 88)",MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,79,ASUS,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,(10),"1,245.99",gpu,1245.99,1003.0
Biostar GeForce 210 1GB DDR3,40.99,,PcComponentes,2026-04-17,tarjetas-graficas,"('MSI GeForce 210 DirectX 10.1 N210-MD1G/D3 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card', 83)",MSI GeForce 210 DirectX 10.1 N210-MD1G/D3 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,178,ASUS,MSI GeForce 210 DirectX 10.1 N210-MD1G/D3 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,(1),"1,170.99",gpu,1170.99,1130.0
ASUS Dual Radeon RX 7600 EVO OC Edition 8GB GDDR6,299.9,,PcComponentes,2026-04-17,tarjetas-graficas,"('ASUS AMD Radeon RX 5500 XT Overclocked O8G GDDR6 Dual Fan EVO Edition HDMI DisplayPort Gaming Graphics Card (DUAL-RX5500XT-O8G-EVO)', 86)",ASUS AMD Radeon RX 5500 XT Overclocked O8G GDDR6 Dual Fan EVO Edition HDMI DisplayPort Gaming Graphics Card (DUAL-RX5500XT-O8G-EVO),164,ASRock,ASUS AMD Radeon RX 5500 XT Overclocked O8G GDDR6 Dual Fan EVO Edition HDMI DisplayPort Gaming Graphics Card (DUAL-RX5500XT-O8G-EVO),(15),753.99,gpu,753.99,454.09
ASUS Dual GeForce RTX 3050 V2 OC Edition 8GB GDDR6,264.77,,PcComponentes,2026-04-17,tarjetas-graficas,"('ASUS GeForce RTX 2080 SUPER Overclocked 8G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort 1.4 Graphics Card (DUAL-RTX2080S-O8G-EVO)', 82)",ASUS GeForce RTX 2080 SUPER Overclocked 8G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort 1.4 Graphics Card (DUAL-RTX2080S-O8G-EVO),94,ASUS,ASUS GeForce RTX 2080 SUPER Overclocked 8G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort 1.4 Graphics Card (DUAL-RTX2080S-O8G-EVO),(12),"1,454.40",gpu,1454.4,1189.63
Zotac GeForce GT 710 2GB GDDR3 Low Profile,59.96,"4,8/5",PcComponentes,2026-04-17,tarjetas-graficas,"('GIGABYTE GeForce GT 710 DirectX 12 GV-N710D5-2GL 2GB 64-Bit DDR5 PCI Express 2.0 x8 Low Profile Video Card', 83)",GIGABYTE GeForce GT 710 DirectX 12 GV-N710D5-2GL 2GB 64-Bit DDR5 PCI Express 2.0 x8 Low Profile Video Card,150,GIGABYTE,GIGABYTE GeForce GT 710 DirectX 12 GV-N710D5-2GL 2GB 64-Bit DDR5 PCI Express 2.0 x8 Low Profile Video Card,(56),605.99,gpu,605.99,546.03
Gigabyte GeForce RTX 3050 WINDFORCE OC V2 6GB GDDR6,227.99,,PcComponentes,2026-04-17,tarjetas-graficas,"('GIGABYTE Geforce RTX 2060 OC GG Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N2060OC-6GD  Video Card', 91)","GIGABYTE Geforce RTX 2060 OC GG Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N2060OC-6GD  Video Card",75,GIGABYTE,"GIGABYTE Geforce RTX 2060 OC GG Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N2060OC-6GD  Video Card",(2),"2,039.99",gpu,2039.99,1812.0
ASUS TUF Gaming GeForce RTX 5060 OC Edition 8GB GDDR7,409.0,,PcComponentes,2026-04-17,tarjetas-graficas,"('ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING)', 84)",ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),154,MSI,ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),(17),263.99,gpu,263.99,-145.01
Gigabyte AMD Radeon RX 9060 XT GAMING OC 8GB GDDR6 FSR 4,384.99,,PcComponentes,2026-04-17,tarjetas-graficas,"('GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XTGAMING OC-8GD Video Card', 87)","GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XTGAMING OC-8GD Video Card",54,MSI,"GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XTGAMING OC-8GD Video Card",(44),907.99,gpu,907.99,523.0
Zotac GeForce GT 1030 2GB GDDR5,87.86,,PcComponentes,2026-04-17,tarjetas-graficas,"('MSI GeForce GT 1030 DirectX 12 GT 1030 2GH LP OC 2GB 64-Bit GDDR5 PCI Express 3.0 x16 (uses x4) HDCP Ready Low Profile Video Card', 89)",MSI GeForce GT 1030 DirectX 12 GT 1030 2GH LP OC 2GB 64-Bit GDDR5 PCI Express 3.0 x16 (uses x4) HDCP Ready Low Profile Video Card,172,EVGA,MSI GeForce GT 1030 DirectX 12 GT 1030 2GH LP OC 2GB 64-Bit GDDR5 PCI Express 3.0 x16 (uses x4) HDCP Ready Low Profile Video Card,(20),,gpu,,
